pressure, temperature, conductivity, salinity, fluorescence, PAR/Irradience, Turbidity, Scan Count, Density, CDOM, Flag
     11.876 ,   15.2248 ,42.911266 ,  34.7887 ,   0.0925,1.4374e+01,    0.3599  ,      92,  1025.8121,     0.0573, 0.000e+00
     11.844 ,   15.2257 ,42.936675 ,  34.8110 ,   0.0924,1.4537e+01,    0.3601  ,      93,  1025.8290,     0.0570, 0.000e+00
     11.838 ,   15.2292 ,42.925726 ,  34.7979 ,   0.0922,1.4353e+01,    0.3552  ,      94,  1025.8181,     0.0587, 0.000e+00
     11.857 ,   15.2225 ,42.910253 ,  34.7899 ,   0.0931,1.3923e+01,    0.3545  ,      95,  1025.8135,     0.0591, 0.000e+00
     11.907 ,   15.2141 ,42.911201 ,  34.7981 ,   0.0913,1.3609e+01,    0.3682  ,      96,  1025.8219,     0.0577, 0.000e+00
     11.942 ,   15.2093 ,42.929716 ,  34.8192 ,   0.0911,1.3628e+01,    0.3679  ,      97,  1025.8394,     0.0563, 0.000e+00
     11.938 ,   15.2133 ,42.918498 ,  34.8054 ,   0.0910,1.3769e+01,    0.3586  ,      98,  1025.8279,     0.0555, 0.000e+00
     11.919 ,   15.2201 ,42.915457 ,  34.7967 ,   0.0915,1.3911e+01,    0.3585  ,      99,  1025.8196,     0.0557, 0.000e+00
     11.901 ,   15.2207 ,42.918700 ,  34.7991 ,   0.0926,1.4052e+01,    0.3606  ,     100,  1025.8212,     0.0531, 0.000e+00
     11.888 ,   15.2223 ,42.928430 ,  34.8065 ,   0.0930,1.4124e+01,    0.3610  ,     101,  1025.8265,     0.0548, 0.000e+00
     11.876 ,   15.2251 ,42.935188 ,  34.8102 ,   0.0990,1.4089e+01,    0.3619  ,     102,  1025.8286,     0.0576, 0.000e+00
     11.873 ,   15.2276 ,42.930930 ,  34.8041 ,   0.0979,1.3965e+01,    0.3621  ,     103,  1025.8234,     0.0555, 0.000e+00
     11.876 ,   15.2240 ,42.928700 ,  34.8053 ,   0.0929,1.3776e+01,    0.3708  ,     104,  1025.8251,     0.0542, 0.000e+00
     11.894 ,   15.2186 ,42.932688 ,  34.8137 ,   0.0927,1.3710e+01,    0.3705  ,     105,  1025.8329,     0.0551, 0.000e+00
     11.897 ,   15.2174 ,42.945935 ,  34.8267 ,   0.0903,1.3759e+01,    0.3668  ,     106,  1025.8432,     0.0553, 0.000e+00
     11.888 ,   15.2198 ,42.932688 ,  34.8126 ,   0.0904,1.3891e+01,    0.3671  ,     107,  1025.8317,     0.0568, 0.000e+00
